# AUTO-BENCH v1 F6 novelty-stream (H1, the ratchet curve) - per-position log.
# REAL leg: session bench-f6c, cap 1.00 USD, tier-0 frontier:gpt-5.4-mini, ledger ~/.auto/spend.jsonl
# stream=evals\bench\f6-stream\stream.jsonl K=8 guard_alpha_milli=400
# tier: bootstrap-record = paid recording via evals/ticket-triage/agent.py (no artifact yet);
#       tier1 = guard proceed, compiled answer, marginal cost 0; tier0-deopt = guard trip, paid
#       frontier answer ingested into the store (the ratchet); abstain/error = honest failures.
# cost_usd_micros: bootstrap = reserved span attr from the store; tier0-deopt = spend-ledger
# delta for this session; tier1 = 0. latency_ms: bootstrap = recorded span duration (real API
# latency); tier0-deopt = the runtime's measured tier-0 wall time; tier1 = one-shot `auto run`
# wall time (process spawn + wasm compile included - the honest one-shot number; see README).
pos,category,text_sha12,distinct_seen,tier,guard_distance,latency_ms,cost_usd_micros,artifact_generation,answer
1,billing,17cb12f37f2c,1,bootstrap-record,,1314,63,0,billing
2,bug,ce3ad56c2cf2,2,bootstrap-record,,833,57,0,bug
3,feature,596a467f9df0,3,bootstrap-record,,796,61,0,feature
4,billing,f08ef09a72b6,4,bootstrap-record,,955,58,0,billing
5,bug,21e6c02f0cf9,5,bootstrap-record,,1051,57,0,bug
6,feature,63ba506c4f68,6,bootstrap-record,,909,57,0,feature
7,billing,793f8e241429,7,bootstrap-record,,1054,60,0,billing
8,bug,c95d2df9836c,8,bootstrap-record,,1266,59,0,bug
9,feature,85dc8b741c90,8,tier1,0.7923,196,0,1,feature
10,billing,3f283840eeb8,8,tier1,0.7901,66,0,1,billing
11,bug,5363b868787f,8,tier1,0.8714,68,0,1,bug
12,feature,16311abe6402,8,tier1,0.8592,70,0,1,bug
13,billing,793f8e241429,8,tier1,0.0000,71,0,1,billing
14,bug,8f5076b17d0d,8,tier1,0.8792,67,0,1,bug
15,billing,cfb98f978d8b,8,tier1,0.8690,68,0,1,billing
16,bug,5363b868787f,8,tier1,0.8714,67,0,1,bug
17,bug,21e6c02f0cf9,8,tier1,0.0000,68,0,1,bug
18,feature,16311abe6402,8,tier1,0.8592,66,0,1,bug
19,feature,63ba506c4f68,8,tier1,0.0000,67,0,1,feature
20,billing,78a26c8bef69,8,tier1,0.8333,336,0,1,billing
21,billing,793f8e241429,8,tier1,0.0000,67,0,1,billing
22,feature,596a467f9df0,8,tier1,0.0000,76,0,1,feature
23,billing,3f283840eeb8,8,tier1,0.7901,67,0,1,billing
24,feature,596a467f9df0,8,tier1,0.0000,68,0,1,feature
25,billing,f08ef09a72b6,8,tier1,0.0000,70,0,1,billing
26,feature,1b3eb767452a,8,tier1,0.8897,74,0,1,bug
27,bug,7c55b12b6d40,8,tier1,0.8551,72,0,1,bug
28,feature,1b3eb767452a,8,tier1,0.8897,78,0,1,bug
29,billing,17cb12f37f2c,8,tier1,0.0000,64,0,1,billing
30,feature,68948e3c77c8,8,tier1,0.8936,63,0,1,feature
31,bug,7c55b12b6d40,8,tier1,0.8551,65,0,1,bug
32,billing,cfb98f978d8b,8,tier1,0.8690,118,0,1,billing
33,billing,17cb12f37f2c,8,tier1,0.0000,70,0,1,billing
34,feature,596a467f9df0,8,tier1,0.0000,67,0,1,feature
35,feature,596a467f9df0,8,tier1,0.0000,65,0,1,feature
36,billing,3f283840eeb8,8,tier1,0.7901,67,0,1,billing
37,feature,63ba506c4f68,8,tier1,0.0000,67,0,1,feature
38,bug,7c55b12b6d40,8,tier1,0.8551,68,0,1,bug
39,billing,793f8e241429,8,tier1,0.0000,66,0,1,billing
40,billing,3f283840eeb8,8,tier1,0.7901,69,0,1,billing
41,feature,596a467f9df0,8,tier1,0.0000,82,0,1,feature
42,feature,85dc8b741c90,8,tier1,0.7923,66,0,1,feature
43,feature,68948e3c77c8,8,tier1,0.8936,67,0,1,feature
44,bug,7c55b12b6d40,8,tier1,0.8551,391,0,1,bug
45,bug,c95d2df9836c,8,tier1,0.0000,68,0,1,bug
46,billing,f08ef09a72b6,8,tier1,0.0000,67,0,1,billing
47,feature,85dc8b741c90,8,tier1,0.7923,67,0,1,feature
48,feature,16311abe6402,8,tier1,0.8592,63,0,1,bug
49,feature,68948e3c77c8,8,tier1,0.8936,66,0,1,feature
50,security,4f493401f33b,9,deopt-agent-record,0.8988,1113,63,1,bug
51,bug,21e6c02f0cf9,9,tier1,0.0000,160,0,1,bug
52,billing,793f8e241429,9,tier1,0.0000,69,0,1,billing
53,billing,17cb12f37f2c,9,tier1,0.0000,338,0,1,billing
54,bug,8f5076b17d0d,9,tier1,0.8792,389,0,1,bug
55,bug,21e6c02f0cf9,9,tier1,0.0000,351,0,1,bug
56,feature,16311abe6402,9,tier1,0.8592,625,0,1,bug
