# AUTO-BENCH v1 F6 novelty-stream (H1, the ratchet curve) - per-position log.
# REAL leg: session bench-f6, cap 1.00 USD, tier-0 frontier:gpt-5.4-mini, ledger ~/.auto/spend.jsonl
# stream=evals\bench\f6-stream\stream.jsonl K=8 guard_alpha_milli=100
# tier: bootstrap-record = paid recording via evals/ticket-triage/agent.py (no artifact yet);
#       tier1 = guard proceed, compiled answer, marginal cost 0; tier0-deopt = guard trip, paid
#       frontier answer ingested into the store (the ratchet); abstain/error = honest failures.
# cost_usd_micros: bootstrap = reserved span attr from the store; tier0-deopt = spend-ledger
# delta for this session; tier1 = 0. latency_ms: bootstrap = recorded span duration (real API
# latency); tier0-deopt = the runtime's measured tier-0 wall time; tier1 = one-shot `auto run`
# wall time (process spawn + wasm compile included - the honest one-shot number; see README).
pos,category,text_sha12,distinct_seen,tier,guard_distance,latency_ms,cost_usd_micros,artifact_generation
1,billing,17cb12f37f2c,1,bootstrap-record,,1141,63,0
2,bug,ce3ad56c2cf2,2,bootstrap-record,,980,57,0
3,feature,596a467f9df0,3,bootstrap-record,,950,61,0
4,billing,f08ef09a72b6,4,bootstrap-record,,2041,58,0
5,bug,21e6c02f0cf9,5,bootstrap-record,,956,57,0
6,feature,63ba506c4f68,6,bootstrap-record,,1189,57,0
7,billing,793f8e241429,7,bootstrap-record,,937,60,0
8,bug,c95d2df9836c,8,bootstrap-record,,828,59,0
9,feature,85dc8b741c90,8,tier1,0.7923,74,0,1
10,billing,3f283840eeb8,8,tier1,0.7901,76,0,1
11,bug,5363b868787f,8,tier1,0.8714,102,0,1
12,feature,16311abe6402,8,tier1,0.8592,75,0,1
13,billing,793f8e241429,8,tier1,0.0000,73,0,1
14,bug,8f5076b17d0d,8,tier1,0.8792,74,0,1
15,billing,cfb98f978d8b,8,tier1,0.8690,72,0,1
16,bug,5363b868787f,8,tier1,0.8714,72,0,1
17,bug,21e6c02f0cf9,8,tier1,0.0000,76,0,1
18,feature,16311abe6402,8,tier1,0.8592,74,0,1
19,feature,63ba506c4f68,8,tier1,0.0000,74,0,1
20,billing,78a26c8bef69,8,tier1,0.8333,71,0,1
21,billing,793f8e241429,8,tier1,0.0000,73,0,1
22,feature,596a467f9df0,8,tier1,0.0000,76,0,1
23,billing,3f283840eeb8,8,tier1,0.7901,78,0,1
24,feature,596a467f9df0,8,tier1,0.0000,74,0,1
25,billing,f08ef09a72b6,8,tier1,0.0000,76,0,1
26,feature,1b3eb767452a,8,tier1,0.8897,73,0,1
27,bug,7c55b12b6d40,8,tier1,0.8551,70,0,1
28,feature,1b3eb767452a,8,tier1,0.8897,363,0,1
29,billing,17cb12f37f2c,8,tier1,0.0000,73,0,1
30,feature,68948e3c77c8,8,tier1,0.8936,77,0,1
31,bug,7c55b12b6d40,8,tier1,0.8551,77,0,1
32,billing,cfb98f978d8b,8,tier1,0.8690,77,0,1
33,billing,17cb12f37f2c,8,tier1,0.0000,76,0,1
34,feature,596a467f9df0,8,tier1,0.0000,71,0,1
35,feature,596a467f9df0,8,tier1,0.0000,73,0,1
36,billing,3f283840eeb8,8,tier1,0.7901,74,0,1
37,feature,63ba506c4f68,8,tier1,0.0000,80,0,1
38,bug,7c55b12b6d40,8,tier1,0.8551,73,0,1
39,billing,793f8e241429,8,tier1,0.0000,78,0,1
40,billing,3f283840eeb8,8,tier1,0.7901,71,0,1
41,feature,596a467f9df0,8,tier1,0.0000,71,0,1
42,feature,85dc8b741c90,8,tier1,0.7923,403,0,1
43,feature,68948e3c77c8,8,tier1,0.8936,73,0,1
44,bug,7c55b12b6d40,8,tier1,0.8551,75,0,1
45,bug,c95d2df9836c,8,tier1,0.0000,77,0,1
46,billing,f08ef09a72b6,8,tier1,0.0000,74,0,1
47,feature,85dc8b741c90,8,tier1,0.7923,76,0,1
48,feature,16311abe6402,8,tier1,0.8592,75,0,1
49,feature,68948e3c77c8,8,tier1,0.8936,75,0,1
50,security,4f493401f33b,8,tier1,0.8988,72,0,1
51,bug,21e6c02f0cf9,8,tier1,0.0000,75,0,1
52,billing,793f8e241429,8,tier1,0.0000,77,0,1
53,billing,17cb12f37f2c,8,tier1,0.0000,71,0,1
54,bug,8f5076b17d0d,8,tier1,0.8792,81,0,1
55,bug,21e6c02f0cf9,8,tier1,0.0000,421,0,1
56,feature,16311abe6402,8,tier1,0.8592,73,0,1
57,security,4ee6f6ed7ed0,8,tier1,0.9045,72,0,1
58,bug,c95d2df9836c,8,tier1,0.0000,78,0,1
59,security,77d54dd9a67c,8,tier1,0.8036,72,0,1
